id,MLM,HLM,AlogP,Molecular_Weight,Num_H_Acceptors,Num_H_Donors,Num_RotatableBonds,LogD,Molecular_PolarSurfaceArea,FPs
TRAIN_0053,14.402,37.45,3.009,483.376,5,1,6,3.009,93.32,[0 0 0 ... 0 0 0]
TRAIN_0054,0.076,0.441,3.96,424.516,5,0,7,3.965,105.56,[0 0 0 ... 0 0 0]
TRAIN_0055,59.112,96.918,1.283,307.353,4,0,3,1.283,64.13,[0 0 0 ... 0 0 0]
TRAIN_0056,60.227,22.004,2.37,460.432,8,0,6,2.37,105.2,[0 0 0 ... 0 0 0]
TRAIN_0057,78.55,70.72,4.961,452.367,2,0,2,4.961,64.68,[0 0 0 ... 0 0 0]
TRAIN_0058,67.683,92.459,3.308,369.845,4,0,3,2.389,45.14,[0 0 0 ... 0 0 0]
TRAIN_0059,59.97,88.29,2.245,363.882,2,0,2,2.245,43.86,[0 0 0 ... 0 0 0]
TRAIN_0060,50.85,85.03,1.182,356.372,5,1,3,1.182,77.1,[0 0 0 ... 0 0 1]
TRAIN_0061,86.6,83.01,2.896,433.521,5,2,5,2.896,109.11,[0 0 2 ... 0 0 0]
TRAIN_0062,23.86,70.13,4.57,459.54,4,1,6,4.57,85.32,[1 0 0 ... 0 0 0]
TRAIN_0063,1.451,36.757,3.434,362.854,4,1,4,3.434,67.34,[0 0 0 ... 0 0 0]
TRAIN_0064,61.34,99.99,3.864,422.478,3,1,4,3.864,67.23,[0 0 0 ... 0 0 0]
TRAIN_0065,6.34,36.08,3.614,426.512,5,0,5,3.614,125.8,[0 0 0 ... 0 0 0]
TRAIN_0066,84.463,87.058,1.716,297.355,3,2,2,1.716,71.84,[0 0 0 ... 0 0 0]
TRAIN_0067,7.12,38.47,2.683,494.586,5,1,5,2.717,137.46,[0 0 0 ... 0 0 0]
TRAIN_0068,99.0,95.61,3.894,365.399,4,2,4,2.423,120.08,[0 0 0 ... 0 0 0]
TRAIN_0069,51.01,88.06,4.946,460.916,5,1,4,4.946,90.79,[0 0 0 ... 0 0 0]
TRAIN_0070,62.96,60.46,4.823,478.287,4,1,5,4.824,79.37,[0 0 0 ... 0 0 0]
TRAIN_0071,0.28,0.44,3.657,374.517,3,1,6,3.657,58.64,[0 0 2 ... 0 0 0]
TRAIN_0072,2.76,4.7,4.123,356.48,2,0,7,4.027,25.99,[0 0 0 ... 0 0 0]
TRAIN_0073,17.256,8.103,3.136,222.239,2,0,1,3.136,26.3,[0 0 0 ... 0 0 0]
TRAIN_0074,86.931,72.384,-0.075,345.4,5,3,7,-1.498,118.17,[0 0 0 ... 0 0 0]
TRAIN_0075,0.041,64.073,3.019,318.329,3,0,2,3.019,64.16,[0 0 0 ... 0 0 0]
TRAIN_0076,31.636,41.949,3.307,461.531,6,1,10,1.753,115.42,[0 0 0 ... 0 0 0]
TRAIN_0077,3.985,4.987,3.38,351.825,4,2,9,2.282,71.7,[0 0 0 ... 0 0 0]
TRAIN_0078,3.25,48.46,2.547,346.808,3,1,3,2.547,58.64,[0 0 0 ... 0 0 0]
TRAIN_0079,87.254,92.326,2.305,327.152,2,3,3,2.305,69.81,[1 0 0 ... 0 0 0]
TRAIN_0080,1.65,51.47,3.098,282.363,2,1,2,3.091,70.98,[0 0 0 ... 0 0 0]
TRAIN_0081,76.42,57.27,3.886,455.355,4,3,7,2.638,137.72,[0 0 0 ... 0 0 0]
TRAIN_0082,36.174,68.768,0.113,278.392,4,1,4,0.113,107.11,[0 0 0 ... 0 0 0]
TRAIN_0083,22.83,62.58,1.675,437.51,6,1,8,1.675,107.48,[0 0 0 ... 0 0 0]
TRAIN_0084,0.17,51.74,4.21,367.869,3,1,6,4.21,42.35,[0 0 0 ... 0 0 0]
TRAIN_0085,0.07,0.98,4.763,401.458,4,0,4,4.763,62.73,[0 0 0 ... 0 0 0]
TRAIN_0086,67.209,99.9,-0.619,413.373,6,1,8,-0.617,127.83,[0 0 0 ... 0 0 0]
TRAIN_0087,56.54,14.71,2.768,426.308,4,2,5,2.808,124.24,[0 0 0 ... 0 0 0]
TRAIN_0088,53.39,38.995,4.908,425.519,3,2,7,4.908,58.56,[0 0 0 ... 0 0 0]
TRAIN_0089,22.26,64.05,5.689,410.503,5,1,3,5.687,72.83,[0 0 1 ... 0 0 0]
TRAIN_0090,0.1,0.39,3.993,413.468,4,0,4,3.966,64.43,[0 0 1 ... 0 0 0]
TRAIN_0091,23.74,99.99,0.748,259.236,3,2,2,0.748,67.15,[0 0 0 ... 0 0 0]
TRAIN_0092,0.33,5.95,4.995,337.416,4,0,3,5.268,37.29,[0 0 0 ... 0 0 0]
TRAIN_0093,17.95,42.46,1.48,393.457,5,1,5,1.48,98.25,[0 0 0 ... 0 0 0]
TRAIN_0094,36.74,49.31,-0.886,312.348,5,1,3,-0.886,108.28,[0 0 0 ... 0 0 0]
TRAIN_0095,21.28,79.5,3.242,486.537,7,1,9,3.242,111.78,[0 0 0 ... 0 0 0]
TRAIN_0096,42.176,13.036,5.763,527.76,3,1,8,5.763,42.35,[0 0 0 ... 0 0 0]
TRAIN_0097,0.22,0.78,4.256,503.366,5,1,4,4.256,93.32,[0 0 0 ... 0 0 0]
TRAIN_0098,99.91,86.97,2.284,391.503,6,0,10,2.284,114.58,[0 0 0 ... 0 0 0]
TRAIN_0099,63.74,1.32,3.205,360.411,5,1,3,3.205,130.57,[0 0 0 ... 0 0 0]
TRAIN_0100,96.269,99.9,4.368,414.38,4,0,6,4.269,59.72,[0 0 0 ... 0 0 0]
TRAIN_0101,11.684,7.948,1.245,348.42,4,0,3,1.244,83.88,[0 0 0 ... 0 0 0]
TRAIN_0102,24.498,29.747,4.294,373.451,4,0,6,4.294,57.23,[0 0 0 ... 0 0 0]
TRAIN_0103,47.004,76.729,4.151,456.372,4,1,3,4.151,41.93,[0 0 1 ... 0 0 0]
TRAIN_0104,81.13,92.24,0.156,280.275,3,1,1,0.156,85.69,[0 0 0 ... 0 0 0]
TRAIN_0105,0.994,17.326,4.162,304.407,4,0,5,4.162,67.2,[0 0 0 ... 0 0 0]
TRAIN_0106,2.904,4.686,3.219,525.567,6,0,7,3.086,88.19,[0 0 0 ... 0 0 0]
TRAIN_0107,67.15,82.11,1.043,265.288,5,1,4,1.14,89.56,[0 0 0 ... 0 0 0]
TRAIN_0108,2.335,0.0,2.578,254.666,4,0,2,2.578,52.6,[0 0 0 ... 0 0 0]
TRAIN_0109,0.14,5.25,3.619,264.754,2,0,3,3.618,33.95,[0 0 0 ... 0 0 0]
TRAIN_0110,39.47,82.21,3.129,320.392,4,0,3,3.436,60.9,[0 0 0 ... 0 0 0]
TRAIN_0111,9.17,20.08,2.457,287.289,3,1,4,2.457,71.08,[0 0 0 ... 0 0 0]
TRAIN_0112,36.9,53.72,4.488,336.361,4,0,2,4.488,73.0,[0 0 0 ... 0 0 0]
TRAIN_0113,1.09,6.18,4.169,477.398,4,1,6,4.176,112.97,[0 0 0 ... 0 0 0]
TRAIN_0114,53.886,39.402,2.461,446.482,5,1,5,2.465,134.38,[0 0 0 ... 0 0 0]
TRAIN_0115,99.9,97.176,3.681,298.835,3,2,5,2.471,72.28,[0 0 0 ... 0 0 0]
TRAIN_0116,17.394,9.026,3.988,445.467,5,1,6,3.936,89.96,[0 0 0 ... 0 0 0]
TRAIN_0117,58.275,57.392,4.282,450.648,8,0,8,1.896,145.7,[0 0 0 ... 0 0 0]
TRAIN_0118,53.64,99.35,1.262,382.453,4,0,6,1.262,59.08,[0 0 0 ... 0 0 0]
TRAIN_0119,94.092,99.9,0.644,256.321,3,1,2,0.62,81.01,[0 0 0 ... 0 0 0]
TRAIN_0120,14.727,76.354,4.708,275.773,1,1,3,4.708,35.25,[0 0 0 ... 0 0 0]
TRAIN_0121,61.1,71.77,2.54,363.445,2,0,2,0.974,26.79,[0 0 0 ... 0 0 0]
TRAIN_0122,26.04,89.25,1.251,308.419,4,1,7,1.251,71.25,[0 0 0 ... 0 0 0]
TRAIN_0123,99.99,99.99,4.102,445.345,5,0,4,4.108,60.48,[0 0 0 ... 0 0 0]
TRAIN_0124,70.7,62.89,1.563,408.336,4,3,4,0.589,82.69,[0 0 0 ... 0 0 0]
TRAIN_0125,75.521,85.828,1.387,250.294,4,2,4,0.461,71.19,[0 0 0 ... 0 0 0]
TRAIN_0126,25.94,99.99,3.894,433.503,4,1,6,3.894,85.32,[1 0 0 ... 0 0 0]
TRAIN_0127,0.13,1.24,3.338,286.369,2,2,4,3.338,58.2,[0 0 0 ... 0 0 0]
TRAIN_0128,0.012,0.412,3.706,487.782,5,0,4,3.706,124.22,[0 0 0 ... 0 0 0]
TRAIN_0129,86.612,59.847,3.475,376.326,8,2,5,0.55,136.02,[0 0 0 ... 0 0 0]
TRAIN_0130,99.99,12.44,2.291,355.388,4,0,5,2.291,71.84,[0 0 0 ... 0 0 0]
TRAIN_0131,17.7,99.99,4.019,262.349,1,2,1,3.944,27.82,[0 0 0 ... 0 0 0]
TRAIN_0132,90.04,99.99,3.164,421.873,4,1,5,3.186,87.22,[0 0 0 ... 0 0 0]
TRAIN_0133,23.12,14.07,4.38,457.36,3,1,6,4.231,54.71,[0 0 0 ... 0 0 0]
TRAIN_0134,87.437,70.39,2.02,279.297,3,1,1,2.021,64.74,[0 0 0 ... 0 0 0]
TRAIN_0135,91.44,95.68,0.91,328.409,4,0,3,0.921,60.25,[0 0 0 ... 0 0 0]
TRAIN_0136,1.0,1.0,4.419,415.549,3,1,5,4.419,91.8,[0 0 0 ... 0 0 0]
TRAIN_0137,99.9,99.9,4.884,424.556,3,1,6,4.884,78.62,[0 0 1 ... 0 0 0]
TRAIN_0138,11.68,99.0,1.812,405.264,6,0,4,1.812,98.84,[0 0 0 ... 0 0 0]
TRAIN_0139,1.233,15.588,0.426,420.271,6,3,7,-0.709,98.07,[0 0 0 ... 0 0 0]
TRAIN_0140,76.404,86.695,2.144,292.33,3,1,4,2.144,85.77,[0 0 0 ... 0 0 0]
TRAIN_0141,8.989,50.893,3.686,395.256,3,2,5,3.725,71.42,[0 0 0 ... 0 0 0]
TRAIN_0142,31.84,63.91,4.207,366.419,4,2,4,4.207,79.38,[0 0 0 ... 0 0 0]
TRAIN_0143,12.544,3.54,3.94,315.331,2,1,5,3.94,38.33,[0 0 1 ... 0 0 0]
TRAIN_0144,3.753,9.868,2.479,281.374,3,1,5,2.429,70.14,[0 0 0 ... 0 0 0]
TRAIN_0145,13.51,13.13,1.686,282.32,4,1,3,1.779,96.01,[0 0 0 ... 0 1 1]
TRAIN_0146,35.265,46.793,2.988,260.287,2,1,2,3.01,76.38,[0 0 0 ... 0 0 0]
TRAIN_0147,24.03,61.21,3.462,396.441,3,2,3,3.439,78.09,[0 0 0 ... 0 0 0]
TRAIN_0148,3.421,47.977,1.619,259.304,3,0,2,1.619,59.23,[0 0 1 ... 0 0 0]
TRAIN_0149,0.622,4.93,3.244,347.41,4,1,5,3.244,59.64,[0 0 0 ... 0 0 0]
TRAIN_0150,0.162,1.093,3.498,277.16,1,0,1,3.498,16.13,[0 0 0 ... 0 0 0]
TRAIN_0151,94.31,99.99,0.507,382.348,6,1,4,0.507,101.72,[0 0 0 ... 0 0 0]
TRAIN_0152,58.61,77.25,1.735,254.284,2,2,3,1.735,58.2,[0 0 0 ... 0 0 0]
TRAIN_0153,74.104,99.834,3.367,289.374,2,2,3,3.367,40.71,[0 0 0 ... 0 0 0]
TRAIN_0154,79.51,99.9,2.483,402.342,6,2,4,1.019,109.28,[0 0 0 ... 0 0 0]
TRAIN_0155,2.386,13.893,3.803,309.326,1,0,4,3.803,20.31,[0 0 0 ... 0 0 0]
TRAIN_0156,0.253,45.295,1.308,254.329,5,0,2,1.308,100.34,[0 0 0 ... 0 0 0]
TRAIN_0157,7.8,8.15,4.587,324.46,2,1,6,2.891,26.71,[0 0 2 ... 0 0 0]
TRAIN_0158,0.0,0.0,1.833,264.279,2,1,1,1.834,42.73,[0 0 0 ... 0 0 0]
TRAIN_0159,20.228,57.712,4.685,300.74,2,3,3,4.677,57.42,[0 0 0 ... 0 0 0]
TRAIN_0160,99.9,44.264,4.965,546.584,6,0,6,4.965,84.95,[0 0 1 ... 0 0 0]
TRAIN_0161,23.454,55.443,3.044,253.253,4,0,3,3.044,51.48,[0 0 0 ... 0 0 0]
TRAIN_0162,3.71,2.8,4.72,292.352,2,0,2,4.72,54.54,[0 0 0 ... 0 0 0]
TRAIN_0163,72.54,76.85,4.343,523.073,5,3,7,4.279,94.81,[0 0 0 ... 0 0 0]
TRAIN_0164,33.42,94.51,2.224,324.22,3,0,2,1.266,36.67,[0 0 0 ... 0 0 0]
TRAIN_0165,0.57,1.22,2.922,486.412,5,1,7,2.922,87.33,[0 0 0 ... 0 0 0]
TRAIN_0166,96.82,99.0,0.904,396.364,4,0,4,0.893,65.98,[0 0 0 ... 0 0 0]
TRAIN_0167,3.25,2.54,3.932,335.443,3,1,4,3.932,57.94,[0 0 0 ... 0 0 0]
TRAIN_0168,1.0,1.0,6.335,433.609,1,1,4,6.335,65.5,[0 0 0 ... 0 0 0]
TRAIN_0169,2.01,11.48,3.117,485.534,5,1,5,3.114,90.62,[0 0 0 ... 0 0 0]
TRAIN_0170,49.735,69.315,1.004,326.477,3,2,5,0.415,64.67,[0 0 0 ... 0 0 0]
TRAIN_0171,1.0,35.76,3.552,316.785,3,0,4,3.508,50.49,[0 0 0 ... 0 0 0]
TRAIN_0172,69.95,78.21,-0.416,386.466,5,3,6,-0.402,133.05,[0 0 0 ... 0 0 0]
TRAIN_0173,95.519,79.209,1.567,312.385,4,3,7,0.109,137.72,[0 0 0 ... 0 0 0]
TRAIN_0174,79.53,93.81,1.3,334.321,3,1,1,1.3,65.0,[0 0 0 ... 0 0 0]
TRAIN_0175,1.48,60.87,3.487,343.379,2,1,3,3.487,62.13,[0 0 0 ... 0 0 0]
TRAIN_0176,36.24,29.74,2.758,258.296,3,0,2,2.759,60.34,[0 0 0 ... 0 0 0]
TRAIN_0177,60.38,88.04,1.679,423.526,5,1,4,1.679,116.42,[0 0 0 ... 0 0 0]
TRAIN_0178,74.931,81.019,2.585,337.379,5,1,2,2.585,83.06,[0 0 0 ... 0 0 0]
TRAIN_0179,62.03,50.59,-4.137,597.656,11,6,13,-4.241,220.86,[0 0 0 ... 0 0 0]
TRAIN_0180,94.98,99.9,0.075,259.305,4,0,2,0.057,106.66,[0 0 0 ... 0 0 0]
TRAIN_0181,70.231,88.837,0.235,290.232,7,5,3,0.197,143.6,[0 0 0 ... 0 0 0]
TRAIN_0182,4.991,58.172,3.779,604.668,7,1,11,3.755,100.65,[0 0 0 ... 0 0 0]
TRAIN_0183,0.82,98.2,3.555,337.776,5,0,5,3.498,47.48,[0 0 0 ... 0 0 0]
TRAIN_0184,0.0,0.0,3.921,422.497,4,0,4,3.921,75.3,[0 0 0 ... 0 0 0]
TRAIN_0185,4.45,61.64,3.779,366.561,3,0,5,3.306,49.0,[0 0 0 ... 0 0 0]
TRAIN_0186,0.56,5.21,2.734,363.537,3,1,5,2.692,52.65,[0 0 2 ... 0 0 0]
TRAIN_0187,99.99,99.99,1.065,288.345,6,2,4,1.058,72.72,[0 0 0 ... 0 0 0]
TRAIN_0188,5.33,50.48,1.735,381.468,4,0,6,1.747,62.74,[0 0 1 ... 0 0 0]
TRAIN_0189,0.11,1.78,5.087,421.555,2,1,3,5.087,74.73,[0 0 0 ... 0 0 0]
TRAIN_0190,54.365,41.28,2.553,491.58,7,2,9,2.588,166.45,[0 0 0 ... 0 0 0]
TRAIN_0191,0.418,1.57,2.378,314.389,5,2,5,1.853,105.74,[0 0 0 ... 0 0 0]
TRAIN_0192,9.16,0.86,4.905,547.069,6,4,11,4.905,142.72,[0 0 0 ... 0 0 0]
TRAIN_0193,26.13,12.29,2.832,262.326,2,0,2,2.833,33.43,[0 0 0 ... 0 0 0]
TRAIN_0194,88.408,79.441,2.156,282.316,4,2,3,0.742,114.95,[0 0 0 ... 0 0 0]
TRAIN_0195,36.84,80.38,4.265,382.797,4,1,3,4.265,69.56,[0 0 0 ... 0 0 0]
TRAIN_0196,12.3,73.64,4.369,417.289,5,0,5,4.37,61.53,[0 0 0 ... 0 0 0]
TRAIN_0197,14.28,36.57,0.657,444.547,6,0,5,0.483,98.73,[0 0 0 ... 0 0 0]
TRAIN_0198,34.42,86.51,1.377,289.313,4,0,3,1.377,96.82,[0 0 0 ... 0 0 0]
TRAIN_0199,2.84,5.3,3.981,315.39,4,1,5,3.98,84.51,[0 0 0 ... 0 0 0]
TRAIN_0200,46.26,94.702,6.521,416.487,3,0,6,6.521,44.12,[0 0 0 ... 0 0 0]
TRAIN_0201,1.993,51.156,2.105,370.488,3,1,6,2.105,67.23,[0 0 0 ... 0 0 0]
TRAIN_0202,4.39,48.91,2.404,389.246,4,1,6,2.404,68.52,[0 0 0 ... 0 0 0]
TRAIN_0203,81.51,99.0,0.575,320.316,4,1,6,0.575,67.87,[0 0 0 ... 0 0 0]
TRAIN_0204,0.04,2.37,4.676,359.464,2,1,4,3.133,29.43,[0 0 0 ... 0 0 0]
TRAIN_0205,63.07,62.5,6.099,566.864,6,2,9,6.099,115.21,[0 0 0 ... 0 0 0]
TRAIN_0206,14.97,20.42,4.56,357.362,5,1,3,4.559,69.4,[0 0 0 ... 0 0 0]
TRAIN_0207,62.506,76.112,1.958,341.429,5,1,7,1.958,111.29,[0 0 0 ... 0 0 0]
TRAIN_0208,23.55,75.74,3.176,445.901,3,3,4,3.235,86.35,[0 0 0 ... 0 0 0]
TRAIN_0209,0.05,1.18,2.948,307.35,4,1,4,2.867,64.86,[0 0 0 ... 0 0 0]
TRAIN_0210,43.3,32.131,3.86,305.159,1,1,2,3.86,32.34,[0 0 0 ... 0 0 0]
TRAIN_0211,9.891,19.702,3.884,369.547,2,2,6,4.008,45.12,[0 0 0 ... 0 0 0]
TRAIN_0212,99.99,99.99,3.753,379.636,3,1,3,3.771,51.22,[0 0 0 ... 0 0 0]
TRAIN_0213,46.58,72.96,1.295,418.445,6,1,4,1.295,93.65,[0 0 0 ... 0 0 0]
TRAIN_0214,49.599,80.945,1.922,337.414,4,1,4,1.922,109.08,[0 1 0 ... 0 0 0]
TRAIN_0215,0.86,2.05,-0.044,266.253,5,0,4,0.389,84.74,[0 0 0 ... 0 0 0]
TRAIN_0216,40.53,87.78,-1.133,385.417,7,0,4,-1.133,108.65,[0 0 0 ... 0 0 0]
TRAIN_0217,6.691,1.449,3.54,287.4,2,0,8,3.386,34.2,[0 0 0 ... 0 0 0]
TRAIN_0218,70.69,99.99,3.401,267.283,4,2,2,3.379,71.17,[0 0 1 ... 0 0 0]
TRAIN_0219,0.69,69.57,4.22,391.506,4,0,4,2.715,37.29,[0 0 0 ... 0 0 0]
TRAIN_0220,31.21,32.47,7.257,473.653,1,1,2,7.257,93.75,[0 0 0 ... 0 0 0]
TRAIN_0221,60.396,41.304,4.672,401.504,4,1,6,4.389,63.05,[0 0 0 ... 0 0 0]
TRAIN_0222,98.31,99.0,3.954,376.646,3,2,3,3.96,83.22,[0 0 0 ... 0 0 0]
TRAIN_0223,2.405,0.0,4.618,379.879,2,1,4,4.618,46.17,[0 0 0 ... 0 0 0]
TRAIN_0224,59.095,66.14,4.782,351.397,2,1,2,4.782,38.33,[0 0 0 ... 0 0 0]
TRAIN_0225,43.3,31.1,0.852,338.299,6,2,4,0.815,113.75,[0 0 0 ... 0 0 0]
TRAIN_0226,0.08,2.12,2.663,396.479,4,1,7,2.663,67.87,[0 0 1 ... 0 0 0]
TRAIN_0227,8.146,58.986,2.719,336.391,4,2,4,2.719,84.72,[0 0 0 ... 0 0 0]
TRAIN_0228,67.5,50.06,4.192,312.151,4,0,3,4.192,47.48,[0 0 0 ... 0 0 0]
TRAIN_0229,0.99,15.08,2.507,260.518,2,0,0,2.507,30.71,[0 0 0 ... 0 0 0]
TRAIN_0230,0.12,0.11,4.681,357.452,3,2,7,4.691,66.49,[0 0 0 ... 0 0 0]
TRAIN_0231,17.332,85.464,3.096,304.346,2,2,2,3.094,75.01,[0 0 0 ... 0 0 0]
TRAIN_0232,15.959,62.249,0.882,300.356,3,1,3,0.882,67.23,[0 0 0 ... 0 0 0]
TRAIN_0233,4.558,2.766,4.016,258.317,1,1,1,4.016,24.39,[0 0 0 ... 0 0 0]
TRAIN_0234,84.091,74.529,1.111,391.465,5,3,6,1.111,140.21,[0 0 0 ... 0 0 0]
TRAIN_0235,35.26,55.01,4.258,384.856,4,2,4,4.258,75.21,[0 0 0 ... 0 0 0]
TRAIN_0236,40.884,40.076,1.587,319.743,4,1,1,1.561,65.38,[0 0 0 ... 0 0 0]
TRAIN_0237,0.39,1.53,3.792,322.404,2,1,8,3.791,54.19,[0 0 0 ... 0 0 0]
TRAIN_0238,81.343,65.423,1.667,303.34,4,1,4,1.667,114.08,[0 0 0 ... 0 0 0]
TRAIN_0239,78.0,99.9,1.627,362.377,6,3,7,1.038,113.96,[0 0 0 ... 0 0 0]
TRAIN_0240,21.25,79.02,3.581,369.845,2,1,4,3.55,62.71,[0 1 0 ... 0 0 0]
TRAIN_0241,0.005,0.012,0.996,369.416,6,1,3,1.016,134.44,[0 0 0 ... 0 0 0]
TRAIN_0242,77.168,65.608,0.318,250.254,5,0,3,0.318,80.82,[0 0 0 ... 0 0 0]
TRAIN_0243,1.513,45.748,3.851,293.403,2,0,1,3.851,12.47,[0 0 0 ... 0 0 0]
TRAIN_0244,41.23,21.14,2.91,352.427,3,1,3,2.91,58.64,[0 0 0 ... 0 0 0]
TRAIN_0245,2.591,1.348,3.987,479.571,6,0,7,3.987,126.08,[0 0 0 ... 0 0 0]
